"intent","total_jobs","failed_jobs","non_failed_jobs","status_counts_json"
"Generate weekly playbook","85","6","79","{""completed"":79,""failed"":6}"
"Run a Weekly Recruiting Check for Ngoc Son (Center, Class of 2028, Football). Review recruiting pipeline status, check for new coach contacts, offers, camp invites, and questionnaires. Audit target school tiers, flag any escalation signals (new offers, coach changes, questionnaire arrivals), and post a concise recruiting status update with recommended next actions for the week.","32","0","32","{""completed"":32}"
"Please handle Email Campaign to Coaches with the Recruiting Coordinator. Send emails to coaches include my NXT1 profile link. Give me the clearest deliverable, priorities, and next steps to act on immediately.","18","0","18","{""awaiting_input"":1,""completed"":14,""paused"":2,""thinking"":1}"
"Generate the daily briefing for today. Summarize profile views, new followers, recruiting updates, and suggest actions.","9","0","9","{""completed"":9}"
"Analysis this image","8","8","0","{""failed"":8}"
"Please handle Workout Plan Builder with the Performance Coordinator. Create training plan for my position. Give me the clearest deliverable, priorities, and next steps to act on immediately.","8","0","8","{""completed"":8}"
"Try again","8","0","8","{""completed"":8}"
"Do in each order I say
1 search up 5 random colleges
2 ask me question with ask_user tool","6","0","6","{""completed"":6}"
"Generate playbooks","6","0","6","{""cancelled"":2,""completed"":4}"
"I'd like to add a general update. Please help me figure out whether this belongs in Posts, PlayerStats, Schedule, Recruiting, or News based on what I'm sharing. If this is photos or highlight video, save it in Posts with the post type set to image or video. If the right section is not obvious, ask me a quick follow-up before saving anything. After that is saved, refresh any relevant parts of my Intel report with the latest stats, achievements, and profile updates.","6","0","6","{""awaiting_input"":1,""completed"":5}"
"Please handle Training Framework Builder with the Performance Coordinator. Create a standard training framework for all teams. Give me the clearest deliverable, priorities, and next steps to act on immediately.","6","2","4","{""completed"":4,""failed"":2}"
"Again","5","0","5","{""completed"":5}"
"Analysis video","5","2","3","{""cancelled"":1,""completed"":2,""failed"":2}"
"I'd like to add a general update. Please help me figure out whether this belongs in Posts, PlayerStats, Schedule, Recruiting, or News based on what I'm sharing. If this is photos or highlight video, save it in Posts with the post type set to image or video. If the right section is not obvious, ask me a quick follow-up before saving anything.","5","0","5","{""completed"":5}"
"Please handle Profile View Tracker with the Data Coordinator. See coaches who viewed you. Give me the clearest deliverable, priorities, and next steps to act on immediately.","5","0","5","{""completed"":5}"
"Do in each order I say. 1. search up 5 random colleges. 2 ask me question with ask_user tool","4","0","4","{""completed"":4}"
"I want to review posts: Post camp-ready cutups. Please execute this action now. Objective: I want to turn my X clips into short, branded posts with captions that point people back to my athlete profile. Execution request: I need you to agent X will draft short captions, titles, posting order, and a call-to-action using https://nxt1sports.com/profile/football/jadrian-brailey/20570678 so my X-sourced clips can be posted with a cleaner recruiting-style presentation.","4","0","4","{""completed"":4}"
"I'd like to add a new profile update. Please help me draft it, then save it to the Posts collection. After that is saved, refresh any relevant parts of my Intel report with the latest stats, achievements, and profile updates.","4","0","4","{""completed"":4}"
"Sync mapprep to my profile","4","4","0","{""failed"":4}"
"What time is it","4","0","4","{""completed"":4}"
"Yes","4","0","4","{""completed"":4}"
"try again","4","0","4","{""completed"":4}"
"📎 1 file","4","0","4","{""completed"":4}"
"Athlete Testing Schedule - 5-Phase Development Plan: Foundation Building (weeks 1-4), Technical Mastery (weeks 5-8), Performance Optimization (weeks 9-12), Professional Readiness (weeks 13-16), and Continuous Monitoring (ongoing). Includes weekly skill assessments, monthly performance reviews, quarterly professional readiness evaluations, and customizable protocols for individual athlete positions.","3","1","2","{""completed"":2,""failed"":1}"
"Can u search up 2 colleges for me","3","0","3","{""completed"":3}"
"Create comprehensive 12-month testing schedule calendar entries for Huy Toan's softball athlete development program. Structure with: Phase 1 (Foundation Assessment Weeks 1-2), Phase 2 (Development Months 1-6), Phase 3 (Competition Readiness Months 7-9), Phase 4 (Professional Transition Months 10-12). Include physical tests (strength, speed, endurance), technical tests (skill proficiency, decision-making), mental tests (focus, resilience, pressure management), and professional readiness benchmarks. Write specific dates, testing protocols, and performance evaluation checkpoints for each phase.","3","1","2","{""completed"":2,""failed"":1}"
"I need to update my NXT1 profile with my current QB metrics. Can you help me add my height, weight, arm strength notes, footwork times (3-step, 5-step, 7-step), 40-time, and any conditioning results from my off-season training?","3","0","3","{""completed"":3}"
"I want to update stats: Sync your profile stats and measurements. Please execute this action now. Objective: I want to update my height, weight, and any new training metrics from my off-season work Execution request: I need you to agent X will guide you through updating my physical measurements, athletic metrics, and any new training PRs from my off-season conditioning program. This sync will ensure coaches viewing my profile at https://nxt1sports.com/profile/football/terrell-hall/41527970 see my most current development and can contact you directly.","3","0","3","{""completed"":3}"
"I'd like to add a new profile update. Please help me draft it, then save it to the Posts collection.","3","0","3","{""completed"":3}"
"Please add our roster. Don’t add the seniors tho. https://www.maxpreps.com/oh/akron/east-dragons/football/25-26/roster/","3","0","3","{""completed"":3}"
"Please handle Coach Email Writer with the Recruiting Coordinator. Write an email to a college coach for me. Give me the clearest deliverable, priorities, and next steps to act on immediately.","3","0","3","{""completed"":3}"
"Please handle Speed & Strength Builder with the Performance Coordinator. Improve athleticism & suggest videos. Give me the clearest deliverable, priorities, and next steps to act on immediately.","3","0","3","{""completed"":3}"
"Please handle Weekly Training Plan with the Performance Coordinator. Create a weekly training plan for my team. Give me the clearest deliverable, priorities, and next steps to act on immediately.","3","0","3","{""completed"":3}"
"Send introductory emails about Denee football program to Ohio Division 1 college football coaching staff","3","1","2","{""awaiting_input"":2,""failed"":1}"
"Send introductory emails about our football program to Ohio Division 1 college football coaching staff","3","1","2","{""awaiting_input"":2,""failed"":1}"
